"UNIT","GEO","TIME","DAYSWEEK","SEX","ACL00","Value","Flag and Footnotes"
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Personal care","11:07",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Sleep","8:30",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Eating","1:44",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Other and/or unspecified personal care","0:53",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Employment, related activities and travel as part of/during main and second job","2:29",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Main and second job and related travel","2:23",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Activities related to employment and unspecified employment","0:06",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Study","0:18",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","School and university except homework","0:09",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Homework","0:07",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Free time study","0:02",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Household and family care","3:12",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Food management except dish washing","0:35",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Dish washing","0:17",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Cleaning dwelling","0:13",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Household upkeep except cleaning dwelling","0:27",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Laundry","0:05",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Ironing","0:09",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Handicraft and producing textiles and other care for textiles","0:02",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Gardening; other pet care","0:11",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Tending domestic animals","0:02",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Caring for pets","0:03",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Walking the dog","0:05",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Construction and repairs ","0:09",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Shopping and services","0:32",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Childcare, except teaching, reading and talking","0:13",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Teaching, reading and talking with child","0:07",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Household management and help family member","0:05",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Leisure, social and associative life","5:33",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Organisational work","0:03",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Informal help to other households","0:04",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Participatory activities","0:03",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Visiting and feasts","0:33",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Other social life","0:18",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Entertainment and culture","0:14",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Resting","0:25",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Walking and hiking","0:09",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Sports and outdoor activities except walking and hiking","0:12",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Computer games","0:04",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Computing","0:26",""
"Time spent (hh:mm)","Belgium","2010","All days of the week","Total","Hobbies and games except computing and computer games","0:15",""
